cdyd_kod;prz_kod;kod grupy przedmiotów;opis grupy przedmiotów;przedmiot;jezyk_przedm;prz_jed_dawca;prz_jed_biorcy;tzaj_kod;zajecia;liczba_godz;numer_grupy;opis_grupy;dzien_tygodnia;data;godz_od;godz_do;lokalizacja;prowadzacy;tytul;jedn_os_kod;rodzaj_umowy;kierunek;stopien_stud;tryb_stud;nr_sem
25/26-Z;200-ZRZ-2S-106-MA;ZRZ-2S,3sem,MA;ZRZ, stacjonarne 2 stopnia, 3 semestr, ?cie?ka M;Marketing eventowy;POL;200-000;200-000;ZW;zaj?cia warsztatowe;15;1;;?RODA       ;12.11.2025;15:00;16:30;D-14a, sala 2.2;Proszowska Anita;dr in?.;200-303;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-134;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Metody ilo?ciowe w zarz?dzaniu;POL;200-000;200-000;CWP;?wiczenia projektowe;30;2;;WTOREK      ;16.12.2025;15:00;16:30;D-14a, sala 3.7;Byrska-R?pa?a Alicja;dr in?.;200-301;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-134;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Metody ilo?ciowe w zarz?dzaniu;POL;200-000;200-000;CWP;?wiczenia projektowe;30;1;;WTOREK      ;02.12.2025;13:00;15:15;D-14a, sala 3.7;Stach Izabella;dr;200-301;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-134;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Metody ilo?ciowe w zarz?dzaniu;POL;200-000;200-000;W;wyk?ad;30;1;;CZWARTEK    ;08.01.2026;16:45;18:15;online, sala online;Stach Izabella;dr;200-301;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-154-MA;ZRZ-2S,3sem,MA;ZRZ, stacjonarne 2 stopnia, 3 semestr, ?cie?ka M;Modu? bada? naukowych;POL;200-000;200-000;KONW;konwersatorium;30;1;;CZWARTEK    ;22.01.2026;13:15;14:45;D-14a, sala 3.1;Batko Roman;dr hab.;200-303;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-154-MA;ZRZ-2S,3sem,MA;ZRZ, stacjonarne 2 stopnia, 3 semestr, ?cie?ka M;Modu? bada? naukowych;POL;200-000;200-000;KONW;konwersatorium;30;1;;CZWARTEK    ;18.12.2025;13:15;14:45;D-14a, sala 3.1;Batko Roman;dr hab.;200-303;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-154-MA;ZRZ-2S,3sem,MA;ZRZ, stacjonarne 2 stopnia, 3 semestr, ?cie?ka M;Modu? bada? naukowych;POL;200-000;200-000;KONW;konwersatorium;30;1;;WTOREK      ;20.01.2026;13:15;14:45;D-14a, sala 2.2;Batko Roman;dr hab.;200-303;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-154-MA;ZRZ-2S,3sem,MA;ZRZ, stacjonarne 2 stopnia, 3 semestr, ?cie?ka M;Modu? bada? naukowych;POL;200-000;200-000;KONW;konwersatorium;30;1;;CZWARTEK    ;27.11.2025;08:00;10:15;D-14a, sala 2.2;Batko Roman;dr hab.;200-303;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-154-ZFI;ZRZ-2S,3sem,ZFI;ZRZ, stacjonarne 2 stopnia,3 semestr, ?cie?ka ZFI;Modu? bada? naukowych;POL;200-000;200-000;KONW;konwersatorium;30;1;;WTOREK      ;13.01.2026;09:45;11:15;D-14a, sala 0.1;Bek-Gaik Bogus?awa;dr hab. in?.;200-306;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-154-ZKL;ZRZ-2S,3sem,ZKL;ZRZ,stacjonarne 2 stopnia, 3 semestr, ?cie?ka ZKL;Modu? bada? naukowych;POL;200-000;200-000;KONW;konwersatorium;30;1;;WTOREK      ;13.01.2026;09:45;11:15;D-14, sala 106;Beck-Krala Ewa;dr hab. in?.;200-302;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-155-ZKL;ZRZ-2S,3sem,ZKL;ZRZ,stacjonarne 2 stopnia, 3 semestr, ?cie?ka ZKL;Motywowanie i wynagradzanie pracowników;POL;200-000;200-000;W;wyk?ad;30;1;;PI?TEK      ;10.10.2025;09:45;11:15;D-14, sala 106;Beck-Krala Ewa;dr hab. in?.;200-302;UP;ZRZ;2;S;3
25/26-Z;200-ZRZ-2S-161;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Negocjacje w biznesie;POL;200-000;200-000;CWA;?wiczenia audytoryjne;15;2;;PI?TEK      ;31.10.2025;09:45;11:15;D-14a, sala 2.1;Czekierda Piotr;mgr;200-302;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-161;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Negocjacje w biznesie;POL;200-000;200-000;CWA;?wiczenia audytoryjne;15;1;;CZWARTEK    ;30.10.2025;11:30;13:00;D-14a, sala 3.1;Czekierda Piotr;mgr;200-302;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-167;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Nowoczesne koncepcje zarz?dzania;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;1;;PONIEDZIA?EK;24.11.2025;08:00;10:15;D-14, sala 219;Filipowicz Pawe?;dr in?.;200-303;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-167;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Nowoczesne koncepcje zarz?dzania;POL;200-000;200-000;W;wyk?ad;45;1;;?RODA       ;29.10.2025;13:15;14:45;D-14, sala 219;Filipowicz Pawe?;dr in?.;200-303;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-167;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Nowoczesne koncepcje zarz?dzania;POL;200-000;200-000;W;wyk?ad;45;1;;?RODA       ;08.10.2025;13:15;14:45;D-14, sala 219;Filipowicz Pawe?;dr in?.;200-303;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-167;ZRZ-2S,1sem,UKR, ZRZ-2S,1s,PP;ZRZ, 2 stopie?, 1semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Nowoczesne koncepcje zarz?dzania;POL;200-000;200-000;W;wyk?ad;45;1;;PONIEDZIA?EK;13.10.2025;08:00;09:30;D-14, sala 219;Filipowicz Pawe?;dr in?.;200-303;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;2;;WTOREK      ;04.11.2025;11:30;13:00;D-14a, sala 1.1;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;2;;WTOREK      ;21.10.2025;13:15;14:45;D-14a, sala 1.1;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;2;;WTOREK      ;07.10.2025;13:15;14:45;D-14a, sala 1.1;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;1;;PONIEDZIA?EK;10.11.2025;09:45;11:15;D-14a, sala 1.1;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;1;;PONIEDZIA?EK;20.10.2025;09:45;11:15;D-14a, sala 1.1;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;CWA;?wiczenia audytoryjne;30;1;;PONIEDZIA?EK;20.10.2025;11:30;13:00;D-14a, sala 1.1;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;W;wyk?ad;15;1;;?RODA       ;01.10.2025;09:45;11:15;D-14, sala 219;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-234;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,2sem,ZP,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, ZRZ,ZP, 2 stopie?, 2semestr,Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Rachunkowo?? zarz?dcza;POL;200-000;200-000;W;wyk?ad;15;1;;?RODA       ;19.11.2025;08:00;10:15;D-14, sala 219;Ko?odziej-Hajdo Marta;dr in?.;200-306;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-251;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Spo?eczna odpowiedzialno?? biznesu;POL;200-000;200-000;CWA;?wiczenia audytoryjne;15;1;;WTOREK      ;27.01.2026;15:00;16:30;D-14, sala 116;Czaplicka-Kotas Agnieszka;mgr in?.;200-304;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-251;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Spo?eczna odpowiedzialno?? biznesu;POL;200-000;200-000;CWA;?wiczenia audytoryjne;15;1;;WTOREK      ;16.12.2025;15:00;16:30;D-14, sala 116;Czaplicka-Kotas Agnieszka;mgr in?.;200-304;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-251;ZRZ-2S,2sem,ZF,UKR, ZRZ-2S,1s,PP;ZRZ, ZF, 2stopie?, 2semestr, Ukraina, przedmioty podstawowe, Zarz?dzanie, 2 stopie? stacjonarne, semestr 1,przedmioty podstawowe;Spo?eczna odpowiedzialno?? biznesu;POL;200-000;200-000;CWA;?wiczenia audytoryjne;15;1;;WTOREK      ;25.11.2025;08:00;10:15;D-14, sala 116;Czaplicka-Kotas Agnieszka;mgr in?.;200-304;UP;ZRZ;2;S;1
25/26-Z;200-ZRZ-2S-322;ZRZ-2S,3sem,PO;ZRZ,stacjonarne 2 stopnia, 3 semestr, przedmioty obieralne;Zarz?dzanie konfliktem;POL;200-000;200-000;CWA;?wiczenia audytoryjne;15;1;MA ZKL ZFI;CZWARTEK    ;30.10.2025;13:15;14:45;D-14a, sala 3.2;Pazynich Yuliya;dr;200-303;UP;ZRZ;2;S;3
